EmployeeNumber,Department,JobRole,Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition,AttritionRisk,RiskTier
500,Sales,Sales Executive,51,4936,7,4,No,No,0.1478,Low
501,Research & Development,Research Scientist,36,2543,2,3,No,No,0.22,Low
502,Sales,Sales Executive,34,5304,5,4,Yes,Yes,0.8387,Critical
505,Research & Development,Manager,55,16659,5,4,Yes,No,0.1336,Low
507,Sales,Sales Executive,24,4260,5,3,Yes,No,0.3243,Medium
508,Sales,Sales Representative,30,2476,1,2,No,No,0.5415,High
510,Research & Development,Research Scientist,26,3102,6,1,No,Yes,0.3487,Medium
511,Research & Development,Research Scientist,22,2244,2,2,No,No,0.5242,High
513,Sales,Sales Executive,36,7596,10,3,No,No,0.2985,Low
514,Research & Development,Research Scientist,30,2285,1,4,Yes,Yes,0.8883,Critical
515,Research & Development,Laboratory Technician,37,3034,18,1,No,No,0.1576,Low
516,Sales,Sales Executive,40,5715,5,2,No,No,0.2229,Low
517,Research & Development,Laboratory Technician,42,2576,5,1,No,No,0.2416,Low
518,Research & Development,Manufacturing Director,37,4197,1,2,Yes,No,0.462,Medium
520,Research & Development,Research Director,43,14336,25,2,No,No,0.1156,Low
521,Research & Development,Laboratory Technician,40,3448,1,3,No,No,0.3168,Medium
522,Research & Development,Research Director,54,19406,4,1,No,No,0.1433,Low
523,Sales,Sales Executive,34,6538,3,3,No,No,0.2854,Low
524,Research & Development,Manufacturing Director,31,4306,13,1,No,No,0.2459,Low
525,Research & Development,Laboratory Technician,43,2258,3,4,No,No,0.346,Medium
526,Research & Development,Healthcare Representative,43,4522,5,3,Yes,No,0.2902,Low
527,Sales,Sales Executive,25,4487,5,4,Yes,No,0.6157,High
529,Research & Development,Research Scientist,37,4449,13,3,Yes,No,0.3842,Medium
530,Research & Development,Laboratory Technician,31,2218,4,1,No,No,0.3118,Medium
531,Research & Development,Manager,39,19197,21,3,Yes,No,0.0919,Low
532,Sales,Sales Executive,56,13212,7,1,No,No,0.1927,Low
533,Sales,Sales Executive,30,6577,5,3,No,No,0.3254,Medium
534,Sales,Sales Executive,41,8392,10,1,No,No,0.1552,Low
536,Research & Development,Laboratory Technician,28,4558,10,1,No,No,0.176,Low
538,Research & Development,Laboratory Technician,25,4031,2,1,No,Yes,0.6748,High
543,Research & Development,Manufacturing Director,52,7969,5,3,Yes,No,0.2179,Low
544,Research & Development,Research Scientist,45,2654,2,4,No,No,0.2687,Low
546,Research & Development,Manager,52,16555,5,4,No,No,0.0724,Low
547,Research & Development,Research Scientist,42,4556,5,3,No,No,0.23,Low
548,Research & Development,Manufacturing Director,30,6091,5,4,No,No,0.2451,Low
549,Research & Development,Manager,60,19566,29,1,No,No,0.2397,Low
550,Research & Development,Manufacturing Director,46,4810,10,3,No,No,0.0951,Low
551,Research & Development,Healthcare Representative,42,4523,6,4,No,No,0.0957,Low
554,Sales,Sales Representative,24,3202,5,2,Yes,Yes,0.7805,Critical
555,Sales,Sales Representative,34,2351,2,3,No,Yes,0.5682,High
556,Research & Development,Laboratory Technician,38,1702,1,4,Yes,No,0.4264,Medium
558,Sales,Manager,40,18041,20,3,No,No,0.0683,Low
560,Research & Development,Research Scientist,26,2886,3,4,No,No,0.2345,Low
562,Research & Development,Laboratory Technician,30,2097,5,4,No,No,0.2108,Low
564,Research & Development,Research Director,29,11935,10,3,No,No,0.1503,Low
565,Research & Development,Research Scientist,29,2546,2,2,No,Yes,0.7662,Critical
566,Human Resources,Human Resources,19,2564,1,4,No,Yes,0.7222,Critical
567,Sales,Sales Executive,30,8412,9,1,No,No,0.2917,Low
568,Sales,Manager,57,14118,1,4,No,No,0.2263,Low
569,Research & Development,Manager,50,17046,27,3,No,No,0.1451,Low
571,Research & Development,Laboratory Technician,30,2564,11,4,No,No,0.2037,Low
573,Sales,Sales Executive,60,10266,18,1,No,No,0.2739,Low
574,Research & Development,Manufacturing Director,47,5070,5,4,No,No,0.1181,Low
575,Research & Development,Research Director,46,17861,3,3,No,No,0.1713,Low
577,Research & Development,Laboratory Technician,35,4230,5,3,No,No,0.3718,Medium
578,Research & Development,Laboratory Technician,54,3780,1,3,No,No,0.2941,Low
579,Research & Development,Research Scientist,34,2768,7,3,No,No,0.1515,Low
580,Sales,Sales Executive,46,9071,3,4,Yes,No,0.2327,Low
581,Research & Development,Manufacturing Director,31,10648,13,2,No,No,0.0888,Low
582,Research & Development,Manager,33,13610,7,3,Yes,Yes,0.7076,Critical
584,Research & Development,Laboratory Technician,33,3408,4,4,No,Yes,0.6428,High
585,Sales,Sales Representative,30,2983,3,2,No,No,0.4641,Medium
586,Research & Development,Healthcare Representative,35,7632,8,3,Yes,No,0.3961,Medium
587,Research & Development,Healthcare Representative,31,9824,1,3,No,Yes,0.7471,Critical
590,Human Resources,Human Resources,34,9950,3,1,Yes,Yes,0.6584,High
591,Research & Development,Laboratory Technician,42,2093,2,3,No,No,0.277,Low
592,Sales,Sales Executive,36,9980,10,4,No,No,0.3162,Medium
593,Research & Development,Laboratory Technician,22,3894,2,3,No,Yes,0.6982,High
595,Sales,Sales Executive,48,4051,9,4,No,No,0.2327,Low
597,Sales,Manager,55,16835,10,2,No,No,0.1875,Low
599,Sales,Sales Executive,41,6230,14,4,No,No,0.2714,Low
600,Sales,Sales Executive,35,4717,11,3,No,No,0.4649,Medium
601,Research & Development,Manufacturing Director,40,13237,20,3,No,No,0.1559,Low
602,Research & Development,Laboratory Technician,39,3755,8,3,No,No,0.1963,Low
604,Sales,Sales Executive,31,6582,6,4,Yes,No,0.4613,Medium
605,Research & Development,Manufacturing Director,42,7406,10,1,Yes,No,0.4036,Medium
606,Sales,Sales Executive,45,4805,8,2,No,No,0.1553,Low
608,Human Resources,Human Resources,26,2741,7,3,Yes,Yes,0.7513,Critical
611,Research & Development,Manufacturing Director,29,4262,3,4,No,No,0.1984,Low
612,Research & Development,Research Director,33,16184,6,3,No,No,0.0938,Low
613,Sales,Manager,31,11557,5,4,No,No,0.2745,Low
614,Sales,Sales Representative,18,1878,0,2,Yes,Yes,0.9106,Critical
615,Sales,Sales Executive,40,10932,1,1,No,No,0.337,Medium
616,Research & Development,Healthcare Representative,41,6811,8,3,Yes,No,0.4307,Medium
618,Sales,Sales Executive,26,4306,0,3,No,No,0.6032,High
620,Sales,Sales Executive,35,4859,5,3,No,No,0.3013,Medium
621,Sales,Sales Executive,34,5337,10,4,No,No,0.2345,Low
622,Research & Development,Laboratory Technician,26,2340,1,4,Yes,Yes,0.9423,Critical
623,Research & Development,Manufacturing Director,37,7491,6,4,No,No,0.1358,Low
624,Research & Development,Healthcare Representative,46,10527,2,3,No,No,0.2905,Low
625,Sales,Manager,41,16595,18,1,No,No,0.1751,Low
626,Sales,Sales Executive,37,8834,9,2,No,No,0.2663,Low
630,Research & Development,Research Scientist,52,5577,10,1,Yes,No,0.1978,Low
631,Sales,Sales Executive,32,4707,4,3,No,Yes,0.6219,High
632,Sales,Sales Representative,24,2400,2,4,No,No,0.424,Medium
634,Research & Development,Healthcare Representative,38,9824,1,3,No,No,0.1771,Low
635,Research & Development,Manufacturing Director,37,6447,6,2,No,No,0.2767,Low
638,Research & Development,Research Director,49,19502,31,3,Yes,No,0.0996,Low
639,Research & Development,Research Scientist,24,2725,6,4,Yes,No,0.655,High
641,Sales,Sales Executive,26,6272,5,2,No,No,0.3234,Medium
643,Research & Development,Laboratory Technician,24,2127,1,2,No,No,0.6163,High
644,Human Resources,Manager,50,18200,32,2,No,No,0.1224,Low
645,Sales,Sales Representative,25,2096,7,3,No,No,0.3954,Medium
647,Research & Development,Laboratory Technician,24,2886,6,3,Yes,Yes,0.7251,Critical
648,Sales,Sales Representative,30,2033,1,1,No,Yes,0.7907,Critical
649,Research & Development,Research Scientist,34,3622,6,4,Yes,No,0.3482,Medium
650,Sales,Sales Executive,31,4233,3,1,No,Yes,0.6592,High
652,Research & Development,Laboratory Technician,35,3681,3,4,No,No,0.4309,Medium
653,Sales,Sales Executive,31,5460,7,4,No,No,0.1697,Low
655,Research & Development,Research Scientist,27,2187,5,3,No,No,0.2114,Low
656,Sales,Sales Executive,37,9602,3,3,Yes,No,0.3418,Medium
657,Research & Development,Research Scientist,20,2836,1,2,No,No,0.4788,Medium
659,Research & Development,Healthcare Representative,42,4089,10,4,No,No,0.1307,Low
661,Research & Development,Research Director,43,16627,1,4,Yes,No,0.2355,Low
662,Research & Development,Research Scientist,38,2619,0,1,No,No,0.4045,Medium
663,Research & Development,Laboratory Technician,43,5679,8,3,Yes,No,0.2293,Low
664,Research & Development,Manager,48,15402,3,1,No,No,0.1614,Low
665,Human Resources,Human Resources,44,5985,2,3,No,No,0.266,Low
666,Sales,Sales Representative,34,2579,8,3,Yes,No,0.4286,Medium
667,Sales,Sales Representative,27,3041,4,1,No,Yes,0.4074,Medium
669,Sales,Sales Representative,21,3447,3,3,No,No,0.5213,High
671,Research & Development,Manager,44,19513,2,4,Yes,No,0.1317,Low
675,Research & Development,Research Scientist,22,2773,2,3,No,No,0.4575,Medium
677,Sales,Sales Executive,33,7104,5,3,No,No,0.2149,Low
679,Research & Development,Research Scientist,32,6322,6,4,Yes,No,0.3827,Medium
680,Research & Development,Research Scientist,30,2083,1,3,No,No,0.4222,Medium
682,Sales,Sales Executive,53,8381,14,1,No,No,0.3573,Medium
683,Research & Development,Research Scientist,34,2691,10,4,No,No,0.1409,Low
684,Sales,Sales Executive,45,4286,1,1,No,Yes,0.707,Critical
686,Research & Development,Laboratory Technician,26,2659,3,4,Yes,No,0.5056,High
689,Research & Development,Manufacturing Director,37,9434,10,3,No,No,0.1466,Low
690,Sales,Sales Executive,29,5561,6,3,No,No,0.2131,Low
691,Research & Development,Research Scientist,35,6646,17,4,No,No,0.2421,Low
692,Research & Development,Healthcare Representative,33,7725,13,4,No,No,0.1211,Low
698,Human Resources,Human Resources,54,10725,9,2,No,No,0.1942,Low
699,Research & Development,Manufacturing Director,36,8847,3,2,Yes,No,0.365,Medium
700,Research & Development,Research Scientist,27,2045,4,4,No,No,0.3424,Medium
701,Research & Development,Research Scientist,20,1009,1,3,Yes,Yes,0.8579,Critical
702,Research & Development,Research Scientist,33,3348,10,1,Yes,Yes,0.7275,Critical
704,Research & Development,Laboratory Technician,35,1281,1,3,No,No,0.347,Medium
705,Research & Development,Research Scientist,23,2819,3,1,No,No,0.3976,Medium
707,Sales,Sales Executive,25,4851,3,2,No,No,0.2044,Low
709,Sales,Sales Executive,38,4028,7,4,No,No,0.2006,Low
710,Research & Development,Research Scientist,29,2720,10,4,No,No,0.1583,Low
712,Sales,Sales Executive,48,8120,2,2,No,No,0.2591,Low
714,Sales,Sales Executive,27,4647,6,4,Yes,No,0.1875,Low
715,Research & Development,Research Scientist,37,4680,1,4,No,No,0.2223,Low
716,Research & Development,Laboratory Technician,50,3221,20,3,Yes,No,0.2172,Low
717,Research & Development,Healthcare Representative,34,8621,8,2,No,No,0.2193,Low
720,Sales,Sales Executive,24,4577,2,3,No,Yes,0.7455,Critical
721,Research & Development,Healthcare Representative,39,4553,20,3,No,No,0.2157,Low
722,Sales,Sales Executive,32,5396,10,4,No,No,0.1978,Low
723,Sales,Sales Executive,50,6796,4,3,Yes,Yes,0.4666,Medium
724,Research & Development,Healthcare Representative,38,7625,9,4,No,No,0.0963,Low
725,Research & Development,Manufacturing Director,27,7412,9,1,No,No,0.1841,Low
727,Research & Development,Research Director,32,11159,7,4,No,No,0.1401,Low
728,Sales,Sales Executive,47,4960,7,1,No,No,0.251,Low
729,Sales,Sales Executive,40,10475,18,1,Yes,No,0.3113,Medium
730,Research & Development,Research Director,53,14814,5,3,No,No,0.0682,Low
731,Human Resources,Manager,41,19141,21,4,No,No,0.106,Low
732,Sales,Sales Executive,60,5405,2,1,No,No,0.522,High
733,Research & Development,Manufacturing Director,27,8793,9,1,No,No,0.1527,Low
734,Human Resources,Manager,41,19189,22,3,No,No,0.064,Low
738,Sales,Sales Representative,50,3875,2,2,No,No,0.3621,Medium
741,Research & Development,Research Scientist,28,2216,7,2,Yes,Yes,0.8654,Critical
742,Research & Development,Research Director,36,11713,8,1,No,No,0.2432,Low
743,Research & Development,Manufacturing Director,38,7861,1,3,Yes,No,0.3785,Medium
744,Research & Development,Laboratory Technician,44,3708,5,3,No,No,0.5495,High
746,Sales,Sales Executive,47,13770,22,3,Yes,No,0.2834,Low
747,Sales,Sales Executive,30,5304,8,4,No,No,0.3533,Medium
749,Sales,Sales Representative,29,2642,1,3,No,No,0.5109,High
752,Research & Development,Research Scientist,42,2759,2,3,Yes,Yes,0.6255,High
754,Sales,Sales Executive,43,6804,2,4,No,No,0.2274,Low
757,Research & Development,Healthcare Representative,34,6142,5,3,No,No,0.2799,Low
758,Research & Development,Laboratory Technician,23,2500,4,1,No,No,0.4049,Medium
760,Human Resources,Human Resources,39,6389,8,2,No,No,0.2104,Low
762,Research & Development,Healthcare Representative,56,11103,10,4,No,No,0.1635,Low
763,Research & Development,Research Scientist,40,2342,4,4,Yes,No,0.3638,Medium
764,Research & Development,Healthcare Representative,27,6811,7,1,No,No,0.3979,Medium
766,Sales,Sales Representative,29,2297,2,2,No,No,0.3751,Medium
769,Research & Development,Laboratory Technician,53,2450,2,4,No,No,0.1774,Low
771,Research & Development,Healthcare Representative,35,5093,1,1,No,No,0.229,Low
772,Research & Development,Laboratory Technician,32,5309,10,4,No,No,0.2108,Low
773,Research & Development,Research Scientist,38,3057,1,3,Yes,No,0.6421,High
775,Research & Development,Manufacturing Director,34,5121,0,1,No,No,0.3487,Medium
776,Sales,Manager,52,16856,34,1,No,No,0.1285,Low
780,Research & Development,Research Scientist,33,2686,10,4,Yes,Yes,0.4558,Medium
781,Sales,Sales Executive,25,6180,6,4,No,No,0.2864,Low
783,Sales,Sales Representative,45,6632,8,3,No,No,0.3715,Medium
784,Research & Development,Research Scientist,23,3505,2,3,No,No,0.4718,Medium
785,Sales,Sales Executive,47,6397,5,3,Yes,Yes,0.6841,High
786,Sales,Sales Executive,34,6274,6,4,No,No,0.1935,Low
787,Research & Development,Manager,55,19859,5,1,Yes,Yes,0.4457,Medium
789,Sales,Sales Executive,36,7587,10,1,No,No,0.3099,Medium
791,Research & Development,Research Scientist,52,4258,4,4,No,No,0.1325,Low
792,Research & Development,Laboratory Technician,26,4364,2,4,No,No,0.5183,High
793,Research & Development,Healthcare Representative,29,4335,8,3,No,No,0.3726,Medium
796,Sales,Sales Executive,26,5326,4,1,No,Yes,0.6995,High
797,Research & Development,Research Scientist,34,3280,4,4,No,No,0.1689,Low
799,Research & Development,Manufacturing Director,54,5485,5,1,Yes,No,0.412,Medium
800,Sales,Sales Executive,27,4342,4,4,No,No,0.2075,Low
802,Research & Development,Research Scientist,37,2782,5,1,Yes,No,0.4321,Medium
803,Research & Development,Manufacturing Director,38,5980,15,1,Yes,No,0.4711,Medium
804,Research & Development,Research Scientist,34,4381,6,1,No,No,0.3038,Medium
805,Sales,Sales Representative,35,2572,3,4,No,No,0.3081,Medium
806,Research & Development,Laboratory Technician,30,3833,2,3,No,No,0.3152,Medium
807,Research & Development,Healthcare Representative,40,4244,8,2,No,No,0.1276,Low
808,Sales,Sales Executive,34,6500,3,1,No,No,0.3437,Medium
809,Research & Development,Manager,42,18430,24,4,No,No,0.0965,Low
811,Research & Development,Laboratory Technician,23,1601,0,1,Yes,Yes,0.8241,Critical
812,Research & Development,Laboratory Technician,24,2694,1,2,No,No,0.423,Medium
813,Research & Development,Laboratory Technician,52,3149,5,3,No,No,0.2061,Low
815,Research & Development,Research Director,50,17639,4,3,No,No,0.1008,Low
816,Research & Development,Laboratory Technician,29,2319,1,1,Yes,Yes,0.8606,Critical
817,Research & Development,Research Director,33,11691,13,3,No,No,0.1483,Low
819,Sales,Sales Executive,33,5324,3,1,No,Yes,0.7624,Critical
820,Research & Development,Manager,47,16752,26,4,Yes,No,0.1334,Low
823,Research & Development,Manufacturing Director,36,5228,9,2,No,No,0.1271,Low
824,Research & Development,Research Scientist,29,2700,10,3,No,No,0.1247,Low
825,Research & Development,Research Director,58,19246,31,2,Yes,Yes,0.4865,Medium
826,Research & Development,Research Scientist,35,2506,2,3,No,No,0.2617,Low
827,Research & Development,Manufacturing Director,42,6062,4,4,Yes,No,0.28,Low
828,Research & Development,Research Scientist,28,4382,2,3,No,Yes,0.5958,High
829,Human Resources,Human Resources,36,2143,5,2,No,No,0.2473,Low
830,Research & Development,Manufacturing Director,32,6162,14,3,No,No,0.1397,Low
832,Research & Development,Laboratory Technician,40,5094,1,3,No,No,0.5229,High
833,Research & Development,Manufacturing Director,30,6877,0,4,Yes,No,0.6555,High
834,Research & Development,Research Scientist,45,2274,1,3,No,No,0.4299,Medium
836,Research & Development,Manufacturing Director,42,4434,9,2,No,No,0.2234,Low
837,Research & Development,Healthcare Representative,38,6288,4,1,No,No,0.344,Medium
838,Research & Development,Research Scientist,34,2553,5,4,No,No,0.2812,Low
840,Sales,Sales Executive,49,7654,9,4,No,Yes,0.3426,Medium
842,Sales,Sales Executive,55,5160,9,4,No,Yes,0.511,High
843,Research & Development,Research Director,43,17159,4,1,No,No,0.1777,Low
844,Research & Development,Research Director,27,12808,9,4,Yes,No,0.201,Low
845,Research & Development,Manufacturing Director,35,10221,8,3,No,No,0.1391,Low
846,Sales,Sales Executive,28,4779,8,2,Yes,No,0.5892,High
847,Human Resources,Human Resources,34,3737,3,4,No,No,0.1284,Low
848,Research & Development,Research Scientist,26,2366,8,3,Yes,Yes,0.6621,High
850,Research & Development,Research Scientist,27,1706,0,4,No,No,0.2881,Low
851,Sales,Manager,51,16307,20,3,No,No,0.1382,Low
852,Research & Development,Healthcare Representative,44,5933,5,2,No,No,0.3582,Medium
854,Research & Development,Research Scientist,25,3424,4,1,No,No,0.6055,High
855,Sales,Sales Executive,33,4037,9,1,No,No,0.2026,Low
856,Research & Development,Research Scientist,35,2559,6,1,No,No,0.3792,Medium
857,Sales,Sales Executive,36,6201,18,4,Yes,No,0.2279,Low
859,Sales,Sales Executive,32,4403,5,4,No,No,0.2605,Low
861,Research & Development,Research Scientist,30,3761,5,4,No,No,0.3212,Medium
862,Sales,Sales Executive,53,10934,5,4,Yes,No,0.3353,Medium
864,Sales,Sales Executive,45,10761,5,1,Yes,No,0.2967,Low
865,Research & Development,Research Scientist,32,5175,5,3,No,No,0.1973,Low
867,Research & Development,Manufacturing Director,52,13826,9,4,No,No,0.0976,Low
868,Sales,Sales Executive,37,6334,1,3,No,No,0.3145,Medium
869,Human Resources,Human Resources,28,4936,5,4,No,No,0.1244,Low
872,Research & Development,Manufacturing Director,22,4775,2,4,No,No,0.349,Medium
874,Research & Development,Laboratory Technician,44,2818,3,4,Yes,No,0.4418,Medium
875,Research & Development,Research Scientist,42,2515,2,4,Yes,No,0.5086,High
878,Human Resources,Human Resources,36,2342,5,1,No,No,0.3445,Medium
879,Sales,Sales Executive,25,4194,5,1,Yes,No,0.5372,High
880,Research & Development,Manufacturing Director,35,10685,17,3,Yes,No,0.1848,Low
881,Research & Development,Research Scientist,35,2022,10,2,Yes,Yes,0.748,Critical
882,Research & Development,Laboratory Technician,32,2314,3,4,No,No,0.1749,Low
885,Sales,Sales Executive,25,4256,5,1,No,No,0.46,Medium
887,Research & Development,Research Scientist,49,3580,4,1,No,No,0.1667,Low
888,Research & Development,Laboratory Technician,24,3162,5,4,No,No,0.3026,Medium
889,Sales,Sales Executive,32,6524,10,2,No,No,0.2921,Low
893,Sales,Sales Representative,38,2899,2,2,No,No,0.364,Medium
894,Research & Development,Laboratory Technician,42,5231,5,4,Yes,No,0.1767,Low
895,Research & Development,Research Scientist,31,2356,6,4,Yes,No,0.4717,Medium
896,Sales,Sales Representative,29,2800,3,3,Yes,Yes,0.6773,High
897,Sales,Sales Executive,53,11836,2,4,No,No,0.2344,Low
899,Research & Development,Manufacturing Director,35,10903,13,2,No,No,0.2457,Low
900,Sales,Sales Representative,37,2973,5,4,No,No,0.3012,Medium
901,Research & Development,Research Director,53,14275,12,4,No,No,0.1187,Low
902,Research & Development,Healthcare Representative,43,5562,5,4,No,No,0.1521,Low
903,Sales,Sales Executive,47,4537,7,4,Yes,No,0.3253,Medium
904,Sales,Sales Executive,37,7642,10,2,Yes,No,0.5724,High
905,Research & Development,Manager,50,17924,31,1,No,No,0.1541,Low
909,Human Resources,Human Resources,39,5204,5,4,No,No,0.1114,Low
910,Human Resources,Human Resources,33,2277,4,2,Yes,No,0.483,Medium
911,Research & Development,Laboratory Technician,32,2795,1,4,Yes,Yes,0.9313,Critical
912,Research & Development,Laboratory Technician,29,2532,4,4,No,No,0.3606,Medium
913,Research & Development,Research Scientist,44,2559,8,1,Yes,No,0.6486,High
916,Sales,Sales Executive,28,4908,4,4,No,No,0.32,Medium
918,Research & Development,Laboratory Technician,58,2380,1,4,Yes,Yes,0.6797,High
920,Research & Development,Manufacturing Director,43,4765,1,2,No,No,0.344,Medium
922,Sales,Sales Representative,20,2044,2,3,No,Yes,0.6592,High
923,Research & Development,Research Scientist,21,2693,1,4,No,Yes,0.5358,High
924,Research & Development,Healthcare Representative,36,6586,16,4,Yes,No,0.2374,Low
925,Sales,Sales Representative,47,3294,3,4,Yes,No,0.4822,Medium
926,Research & Development,Manufacturing Director,22,4171,3,3,Yes,Yes,0.6754,High
927,Research & Development,Laboratory Technician,41,2778,7,4,Yes,Yes,0.5675,High
930,Research & Development,Research Scientist,28,2377,2,3,No,No,0.4344,Medium
932,Research & Development,Laboratory Technician,39,2404,2,1,Yes,Yes,0.8362,Critical
933,Research & Development,Research Scientist,27,2318,1,3,No,No,0.5802,High
934,Research & Development,Laboratory Technician,34,2008,1,2,No,No,0.5465,High
936,Sales,Sales Executive,42,6244,5,3,No,No,0.4499,Medium
939,Research & Development,Research Scientist,33,2799,3,1,Yes,No,0.6918,High
940,Research & Development,Healthcare Representative,58,10552,6,2,Yes,No,0.1585,Low
941,Sales,Sales Representative,31,2329,7,3,No,No,0.4861,Medium
942,Research & Development,Healthcare Representative,35,4014,10,4,Yes,No,0.2819,Low
944,Research & Development,Laboratory Technician,49,7403,26,2,No,No,0.2046,Low
945,Research & Development,Research Scientist,48,2259,0,3,No,No,0.2406,Low
947,Sales,Sales Executive,31,6932,9,3,No,No,0.1832,Low
949,Research & Development,Research Scientist,36,4678,6,4,No,No,0.1871,Low
950,Research & Development,Research Director,38,13582,15,1,No,No,0.0821,Low
951,Research & Development,Laboratory Technician,32,2332,3,2,No,No,0.4058,Medium
952,Sales,Sales Representative,25,2413,1,2,Yes,Yes,0.8778,Critical
954,Sales,Sales Executive,40,9705,1,2,No,No,0.4848,Medium
956,Sales,Sales Executive,26,4294,7,1,No,No,0.3794,Medium
957,Research & Development,Laboratory Technician,41,4721,18,1,Yes,No,0.3156,Medium
958,Research & Development,Laboratory Technician,36,2519,11,3,No,No,0.2254,Low
959,Sales,Sales Representative,19,2121,1,2,Yes,Yes,0.9309,Critical
960,Research & Development,Laboratory Technician,20,2973,1,1,No,Yes,0.8512,Critical
961,Research & Development,Healthcare Representative,31,5855,9,4,Yes,No,0.3603,Medium
964,Research & Development,Research Scientist,40,3617,1,2,Yes,No,0.4139,Medium
966,Research & Development,Manufacturing Director,32,6725,8,1,No,No,0.2048,Low
967,Sales,Sales Executive,36,10325,16,4,Yes,Yes,0.444,Medium
969,Research & Development,Healthcare Representative,33,6949,5,4,No,No,0.2072,Low
970,Sales,Sales Executive,37,10609,14,3,No,Yes,0.7311,Critical
972,Research & Development,Laboratory Technician,45,4447,9,2,No,No,0.1557,Low
974,Sales,Sales Representative,29,2157,3,4,No,No,0.2711,Low
975,Sales,Sales Executive,35,4601,5,3,No,No,0.2827,Low
976,Research & Development,Manager,52,17099,9,4,No,No,0.0821,Low
977,Research & Development,Research Scientist,58,2479,1,3,No,Yes,0.3367,Medium
981,Sales,Manager,53,14852,17,3,No,No,0.177,Low
982,Sales,Sales Executive,30,7264,8,3,No,No,0.3734,Medium
983,Sales,Sales Executive,38,5666,5,4,Yes,No,0.4385,Medium
984,Sales,Sales Executive,35,7823,10,4,No,No,0.182,Low
985,Sales,Sales Executive,39,7880,8,3,No,No,0.1652,Low
986,Sales,Sales Executive,40,13194,1,2,Yes,Yes,0.7564,Critical
987,Research & Development,Manufacturing Director,47,5067,19,3,Yes,No,0.1815,Low
990,Sales,Sales Executive,36,5079,7,4,No,No,0.1532,Low
991,Research & Development,Research Scientist,31,2321,3,1,Yes,Yes,0.7236,Critical
992,Sales,Manager,33,17444,10,3,No,No,0.2217,Low
994,Research & Development,Research Scientist,29,2404,0,1,Yes,Yes,0.8875,Critical
995,Research & Development,Research Scientist,33,3452,3,4,No,No,0.3316,Medium
996,Research & Development,Laboratory Technician,45,2270,5,4,No,No,0.1094,Low
997,Research & Development,Research Director,50,17399,5,4,No,No,0.076,Low
998,Research & Development,Healthcare Representative,33,5488,6,2,Yes,No,0.299,Low
999,Research & Development,Research Director,41,19419,18,3,No,No,0.0891,Low
1001,Research & Development,Laboratory Technician,27,2811,2,2,No,No,0.5852,High
1002,Research & Development,Laboratory Technician,45,3633,9,1,Yes,No,0.3679,Medium
1003,Sales,Sales Executive,47,4163,9,4,Yes,No,0.3188,Medium
1004,Research & Development,Research Scientist,30,2132,5,3,Yes,Yes,0.9038,Critical
1005,Research & Development,Manufacturing Director,50,13973,12,3,Yes,No,0.1687,Low
1006,Research & Development,Research Scientist,38,2684,2,3,No,No,0.226,Low
1007,Research & Development,Manufacturing Director,46,10845,8,3,No,No,0.1445,Low
1009,Research & Development,Manufacturing Director,24,4377,4,3,No,No,0.1903,Low
1010,Research & Development,Laboratory Technician,35,3743,4,2,Yes,Yes,0.7838,Critical
1011,Research & Development,Manufacturing Director,31,4148,4,1,No,No,0.2075,Low
1012,Research & Development,Research Scientist,18,1051,0,4,No,No,0.5618,High
1013,Research & Development,Manufacturing Director,54,10739,10,3,No,No,0.134,Low
1014,Research & Development,Healthcare Representative,35,10388,16,3,Yes,No,0.4859,Medium
1015,Research & Development,Research Director,30,11416,8,1,Yes,No,0.2334,Low
1016,Research & Development,Research Scientist,20,2600,1,1,Yes,Yes,0.8983,Critical
1017,Research & Development,Laboratory Technician,30,2422,3,2,No,Yes,0.49,Medium
1018,Research & Development,Manufacturing Director,26,5472,8,4,No,No,0.1206,Low
1019,Research & Development,Laboratory Technician,22,2451,4,1,No,No,0.4886,Medium
1022,Research & Development,Healthcare Representative,48,4240,2,3,No,No,0.3507,Medium
1024,Research & Development,Healthcare Representative,48,10999,15,3,No,No,0.1842,Low
1025,Research & Development,Manufacturing Director,41,5003,2,3,No,No,0.2646,Low
1026,Research & Development,Manufacturing Director,39,12742,21,4,No,No,0.0965,Low
1027,Research & Development,Manufacturing Director,27,4227,3,4,No,No,0.1658,Low
1028,Research & Development,Laboratory Technician,35,3917,3,4,No,No,0.2402,Low
1029,Sales,Manager,42,18303,1,3,No,No,0.1748,Low
1030,Research & Development,Laboratory Technician,50,2380,1,4,No,No,0.4599,Medium
1032,Research & Development,Manufacturing Director,59,13726,5,4,Yes,No,0.2131,Low
1033,Research & Development,Healthcare Representative,37,4777,1,2,No,Yes,0.7291,Critical
1034,Research & Development,Healthcare Representative,55,6385,8,2,Yes,No,0.3527,Medium
1035,Research & Development,Research Director,41,19973,21,3,No,No,0.0981,Low
1036,Sales,Sales Executive,38,6861,1,4,Yes,No,0.5882,High
1037,Sales,Sales Executive,26,4969,2,1,No,Yes,0.8808,Critical
1038,Sales,Manager,52,19845,32,4,No,Yes,0.4311,Medium
1039,Sales,Sales Executive,44,13320,12,4,Yes,No,0.229,Low
1040,Sales,Sales Executive,50,6347,18,3,No,No,0.108,Low
1042,Research & Development,Laboratory Technician,36,2743,17,1,No,Yes,0.3441,Medium
